Company	Sentiment	spam	Relevant	Sentiment	Subject	Handle
PayPal_General	NEUTRAL	Y	N	neutral	-     DJ PAYPAL - WHY                 http://t.co/8sddC05h4k     -	http://twitter.com/4kosgi/status/448199045417164800
PayPal_General	NEUTRAL	N	Y	neutral	"' #AbcNews ' EBay Responds to Icahn, Says Sticking With PayPal: EBay responds to Icahn's letter, ... http://t.co/2AKdCGNBgL ' #AbcNews '"	http://twitter.com/1JonathanPerez/status/437963569976459264
PayPal_General	NEUTRAL	N	Y	neutral	" #PayPal feels the threat from Appleâ€™s mobile payment plans, says it â€˜wants to helpâ€™ #tech #apple http://t.co/FvXeJ4m7Wm"	http://twitter.com/MOHIT881923/status/429911680856764416
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/__Tyraaaaa/status/430078716954558464
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/__tyroneee/status/430012948304920576
PayPal_General	POSITIVE	N	N	positive	confess your love for me via PayPal	http://twitter.com/__tyyM/status/434170177605754881
Squre	NEUTRAL				rt Square Strikes Nationwide Payment Deal With Whole Foods: Having partnered with Starbucks more than a year a... http://t.co/GfsyDNIhDx	http://twitter.com/__UBI__/status/433300175319076864
PayPal_General	NEUTRAL	N	Y	neutral	rt Elon Musk And David Sacks Say PayPal Could Top $100B Away From Ebay: Carl Icahn thinks is damaging PayPalâ€™s... http://t.co/XkhJqupaQz	http://twitter.com/__UBI__/status/435846490003890177
PayPal_General	NEGATIVE	N	Y	negative	rt PayPal tweaks its policy to address crowdfunding issues: PayPal has gotten itself some bad press over crowd... http://t.co/pT4ZLS7IUU	http://twitter.com/__UBI__/status/444307766983659521
Payevenp	NEUTRAL				rt Payleven set to launch â‚¬100 contactless payment-capable Chip & PIN reader for small businesses: Rocket Inte... http://t.co/3mBzQbPVIu	http://twitter.com/__UBI__/status/446247075391356928
PayPal_General	NEUTRAL	N	Y	neutral	rt PayPalâ€™s food payment services Pay At Table and Order Ahead come to the UK and Australia: PayPal has switch... http://t.co/d2ThQwDhj4	http://twitter.com/__UBI__/status/446821301571694592
PayPal_General	NEUTRAL	N	N	neutral	RT @LittlecBeadles: I take paypal	http://twitter.com/__UnaBelieber/status/448651626296119296
PayPal_General	NEUTRAL	N	N	neutral	RT @MichaelAllie: For updates on the last 2 minutes please send $5.99 to my paypal account. Joking	http://twitter.com/__Valenciaaaa/status/442096442123882496
PayPal_General	NEGATIVE	N	N	negative	RT @Jvyzus_: yall dumb af.... HOW WOULD SOMEONE SEND YOU $50 FROM PAYPAL W/O NOWHERE TO SEND YO MONEY....	http://twitter.com/__VanteSpazzin/status/430169476852498432
PayPal_General	NEUTRAL	N	N	neutral	Here ya go! And when u kik me give me ur paypal address so i can send u da money to start ... http://t.co/mH8R6CYfyu	http://twitter.com/__versonality/status/429737031246577664
PayPal_General	NEUTRAL	N	N	negative	Found the most perf pair of docs ever but I can't buy them bc no money in my PayPal sigh sigh sigh	http://twitter.com/__w4nderlust/status/438032106082828288
PayPal_General	NEGATIVE	N	Y	negative	Whose fucking card gets rejected from a 2 pound fucking transaction fuck @paypal you fucking nobheads	http://twitter.com/__WezWilliams/status/433242668509175808
PayPal_General	NEGATIVE	N	Y	neutral	â€œ@ShamarGotHoes: I tried to DM this Lightskin girl onetime and there was a PayPal payment before I had to DM her smhâ€ù lmao	http://twitter.com/__Wholetime/status/434441619048501248
PayPal_General	NEUTRAL	N	N	neutral	"RT @zxzcdx: IF THE SEATTLE SEAHAWKS DO NOT WIN THE SUPERBOWL TODAY, I WILL SEND EVERYONE WHO RETWEETS THIS $100 ON PAYPAL http://t.co/27vcfâ€_"	http://twitter.com/__xchris/status/430077921945198593
PayPal_General	POSITIVE	N	N	positive	RT @Sole4theSoul: Only thing that's making me feel good about my self is the fact that I have enough money in my PayPal to purchase yeezys	http://twitter.com/__XCIV/status/433097371442900993
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/__XCVIBaby/status/430115971882565632
PayPal_General	NEUTRAL	N	N	neutral	â€œ@BriaBurrito: I'm about to sell my nextflix password. I accept paypal and food stampsâ€ù BRIAAAAAAA _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚	http://twitter.com/__xNicki/status/434020978629545984
