Company	Sentiment	spam	Relevant	Sentiment	Subject	Handle
PayPal_General	NEUTRAL	Y	N	neutral	-     DJ PAYPAL - WHY                 http://t.co/8sddC05h4k     -	http://twitter.com/4kosgi/status/448199045417164800
PayPal_General	NEUTRAL	N	Y	neutral	"' #AbcNews ' EBay Responds to Icahn, Says Sticking With PayPal: EBay responds to Icahn's letter, ... http://t.co/2AKdCGNBgL ' #AbcNews '"	http://twitter.com/1JonathanPerez/status/437963569976459264
PayPal_General	NEUTRAL	N	Y	negative	" #PayPal feels the threat from Appleâ€™s mobile payment plans, says it â€˜wants to helpâ€™ #tech #apple http://t.co/FvXeJ4m7Wm"	http://twitter.com/MOHIT881923/status/429911680856764416
PayPal_General	NEGATIVE	Y	N	neutral	@cheerNbanter abang. Boleh orderkan saya adidas hamburg tak nanti. Saiz 7.5 UK. 1 march nanti release. Akaun paypal saya tak update lagi. :(	http://twitter.com/_Dhaus11/status/435378139024199680
PayPal_General	NEUTRAL	N	Y	positive	PayPal is clutch .. Free money I didn't have	http://twitter.com/_dialectfoo/status/433652260187299840
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_Dianaaa24/status/429936319914344448
PayPal_General	NEUTRAL	N	Y	neutral	RT @ForbesTech: Carl Icahn has fired another shot in his battle to force eBay to spin off its fast growing PayPal division. http://t.co/v0Uâ€_	http://twitter.com/_diegonobili_/status/438307233177567232
PayPal_General	NEGATIVE	N	Y	negative	"Last year, PayPal promised to overhaul its policies after getting flak for freezing huge amounts of crowdfunding... http://t.co/bKWNnp6Lj0"	http://twitter.com/_DigitalVision/status/444603901208043520
Google_Wallet	NEUTRAL	N	N	neutral	It's time to upgrade that old phone you've been using for Google Wallet payments at the local store. Google is... http://t.co/x9AADKMLa8	http://twitter.com/_DigitalVision/status/445428344998223872
PayPal_General	NEUTRAL	N	N	neutral	"RT @zxzcdx: IF THE SEATTLE SEAHAWKS DO NOT WIN THE SUPERBOWL TODAY, I WILL SEND EVERYONE WHO RETWEETS THIS $100 ON PAYPAL http://t.co/27vcfâ€_"	http://twitter.com/_dillonhill/status/430092878590001152
PayPal_General	NEGATIVE	N	Y	negative	Something is wrong with my Paypal.. It's not letting buy anything offline.. Anybody know why????	http://twitter.com/_DirtyDyanna_/status/442662500417302528
PayPal_General	NEUTRAL	N	N	neutral	Guys! there's a $200 paypal give away! http://t.co/EZWxgBZ4AZ	http://twitter.com/_dishbydish/status/430714390556315651
PayPal_General	NEUTRAL	N	N	neutral	"Cheap place to buy fifa coins ? Looking for less than Â£60 for a mill, Xbox, paypal, must be trusted @EASPORTSFIFA  @cheaputc"	http://twitter.com/_Dispaced/status/439605532308307969
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_disPRETTYbxtch/status/430051981521354752
PayPal_General	NEUTRAL	N	N	neutral	@ilovepurple__ I will pay you to re-tweet those tweets... and I will pay you before you re-tweet them. (this assumes you have paypal) Deal?	http://twitter.com/_Dissertation/status/435465796291018752
PayPal_General	NEUTRAL	N	N	neutral	@tazz_a We are a team of writers. We seriously offer to write all of your essays. We accept paypal.	http://twitter.com/_Dissertation/status/435466284377972737
PayPal_General	NEUTRAL	N	N	neutral	@DannDixon & all you need to do is make sure they provide us with your paypal address. If you don't have a paypal account then register one.	http://twitter.com/_Dissertation/status/440485804280795136
PayPal_General	NEUTRAL	N	N	neutral	@Kamilianoo__ You need to be registered with paypal.	http://twitter.com/_Dissertation/status/443018832538763265
PayPal_General	NEUTRAL	N	N	neutral	@Kamilianoo__ We pay it to your paypal account... so you would still need to be registered with paypal.	http://twitter.com/_Dissertation/status/443020542250352640
PayPal_General	NEUTRAL	N	N	neutral	@CowsWearBras payment is through paypal.	http://twitter.com/_Dissertation_/status/431498029711896577
PayPal_General	NEUTRAL	N	N	neutral	@KVitt_ If you email that to dissertationsandessays@yahoo.com and if you make a paypal payment of $40 then we will write this for you.	http://twitter.com/_Dissertation_/status/431746609081118720
PayPal_General	NEUTRAL	N	N	neutral	"@ZarahBrees Hi, I offer to pay money (using paypal) for 2 re-tweets. I will pay before you re-tweet. Deal?"	http://twitter.com/_Dissertation_/status/435791054701215745
PayPal_General	NEUTRAL	N	N	neutral	"@SecuteBelieber Hi, I offer to pay money (using paypal) for 2 re-tweets. I will pay the money before you re-tweet. Deal?"	http://twitter.com/_Dissertation_/status/435794321028030464
PayPal_General	NEUTRAL	N	N	neutral	"@Onision Hi, I offer to pay money (using paypal) for 2 re-tweets. I will pay the money ($8) before you re-tweet. Deal?"	http://twitter.com/_Dissertation_/status/435794955475222529
