Company	Sentiment	spam	Relevant	Sentiment	Subject	Handle
PayPal_General	NEUTRAL	Y	N	neutral	-     DJ PAYPAL - WHY                 http://t.co/8sddC05h4k     -	http://twitter.com/4kosgi/status/448199045417164800
PayPal_General	NEUTRAL	N	Y	neutral	"' #AbcNews ' EBay Responds to Icahn, Says Sticking With PayPal: EBay responds to Icahn's letter, ... http://t.co/2AKdCGNBgL ' #AbcNews '"	http://twitter.com/1JonathanPerez/status/437963569976459264
PayPal_General	NEUTRAL	N	Y	negative	" #PayPal feels the threat from Appleâ€™s mobile payment plans, says it â€˜wants to helpâ€™ #tech #apple http://t.co/FvXeJ4m7Wm"	http://twitter.com/MOHIT881923/status/429911680856764416
						
PayPal_General	NEUTRAL	N	Y	positive	@bharat_builder @Vidyut Atleast paypal provides protection to both buyer and seller unlike banks in india.	http://twitter.com/_______prashant/status/439120289629077504
PayPal_General	NEUTRAL	N	Y	negative	"@bharat_builder @Vidyut But paypal can be used for money laundering very easily , thats y there is immediate transfer condition for india"	http://twitter.com/_______prashant/status/439123879307804673
PayPal_General	NEUTRAL	N	Y	neutral	@circletine but also websites that only accept PayPal when ur trying to use a gift card	http://twitter.com/_________shamus/status/433123509037170688
PayPal_General	NEGATIVE	N	Y	positive	@circletine WHY DOESNT AMAZON ACCEPT PAYPAL FUCK YOU AMAZON	http://twitter.com/________sammi/status/433123996393955329
PayPal_General	NEUTRAL	N	Y	neutral	"@Vidyut Government thinks we bring black money so they put all the restrictions, even on Paypal"	http://twitter.com/_______prashant/status/439117587746942976
PayPal_General	NEUTRAL	N	Y	negative	Having a paypal account is dangerous	http://twitter.com/________pris/status/433317983000485888
PayPal_General	NEGATIVE	N	N	negative	I gotta make a dumb PayPal account just to buy something from this website AGGY	http://twitter.com/_____aMoya/status/437030901440987137
PayPal_General	NEUTRAL	N	Y	negative	"I mean, did the guys who built it not think that anyone would actually use it? It broke on paypal confirmation. It's broken on delivery."	http://twitter.com/____________g/status/446086086658633729
PayPal_General	NEUTRAL	N	Y	neutral	"Paypal + cc Checker no log no kill , VIP bro > http://t.co/8WC8XB7CkX"	http://twitter.com/_______78808282/status/446781878482534400
PayPal_General	NEUTRAL	N	Y	neutral	paypal + cc checker private gw bro http://t.co/8WC8XB7CkX	http://twitter.com/_______78808282/status/446783768435916801
PayPal_General	NEUTRAL	N	N	negative	Paypal playing games blowing me	http://twitter.com/_____487/status/440605030492561408
PayPal_General	POSITIVE	N	Y	negative	Paypal take all-day with people money I gotta pay nazz his money for his shoes lol	http://twitter.com/_____487/status/440024463606685697
PayPal_General	NEGATIVE	N	N	negative	Sending $1300 to the wrong person on paypal _Ÿ˜… fuck	http://twitter.com/___________lulu/status/429710442181984257
PayPal_General	NEUTRAL	Y	N	neutral	Depends on how much you paying RT @sarahdashh: Everybody take the time to report @ChillJae as spam and receive your money via Paypal.	http://twitter.com/_____0__o______/status/435943813949825024
PayPal_General	NEUTRAL	Y	Y	neutral	I Still Dont Know How Much Ya'll Pay For Followers & Do Ya'll Do It Thur Paypal	http://twitter.com/______Gee/status/439458792606924800
PayPal_General	NEUTRAL	Y	N	neutral	paypal is the tits	http://twitter.com/_______SF/status/433006776833671168
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/________Ash/status/430050427674329088
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_______ariana/status/430072269734297600
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/______jackjack/status/430084428631932928
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_____ashbash/status/430054915244044288
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_____Danae/status/430059984370806786
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/____a17/status/430108853985116160
