Company	Sentiment	spam	Relevant	Sentiment	Subject	Handle
PayPal_General	NEUTRAL	Y	N	neutral	-     DJ PAYPAL - WHY                 http://t.co/8sddC05h4k     -	http://twitter.com/4kosgi/status/448199045417164800
PayPal_General	NEUTRAL	N	Y	neutral	"' #AbcNews ' EBay Responds to Icahn, Says Sticking With PayPal: EBay responds to Icahn's letter, ... http://t.co/2AKdCGNBgL ' #AbcNews '"	http://twitter.com/1JonathanPerez/status/437963569976459264
PayPal_General	NEUTRAL	N	Y	negative	" #PayPal feels the threat from Appleâ€™s mobile payment plans, says it â€˜wants to helpâ€™ #tech #apple http://t.co/FvXeJ4m7Wm"	http://twitter.com/MOHIT881923/status/429911680856764416
PayPal_General	NEUTRAL	N	Y	negative	I have to wait two fucking days to order what I wanted to order because of fucking paypal _Ÿ˜¡_Ÿ˜¡_Ÿ˜¡_Ÿ˜¡	http://twitter.com/_GM_C/status/438148349083279360
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_goblinnn__/status/430052310245724161
SquareUP	NEUTRAL				RT @UrsinusMLAX: Business trip. #squareup #family	http://twitter.com/_Goey/status/448903119494467585
PayPal_General	NEUTRAL	N	N	neutral	@ambersky02 Sure thing! What kind of payment do you take? I think my pop might like one too..I know I want one..Do you take paypal?	http://twitter.com/_GOLD4MONEY/status/443579549738364928
PayPal_General	NEUTRAL	N	Y	negative	"Oh, so pedophile Wolfy is free again? Weird. He was involved in the paypal thing. Why not charged with rest?  http://t.co/f5S06jHkJX"	http://twitter.com/_Golden_Rule_/status/432841623177658369
PayPal_General	NEGATIVE	N	N	neutral	@GoddamnedBear he's free again. was arrested & in jail for same paypal attack as paypal 14. funnily is free now. @yokalli @Xyri3	http://twitter.com/_Golden_Rule_/status/433028301565616128
PayPal_General	NEGATIVE	N	Y	negative	@anticrisis73 @MrBeagleman i'm confused why wolfy is free again. really. he was arrested for the paypal thing too. why no public charges?	http://twitter.com/_Golden_Rule_/status/433049668029669376
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_goldencity/status/430020092655857664
PayPal_General	NEUTRAL	N	N	neutral	RT @jordanisbae: Send me the booty via Paypal	http://twitter.com/_goldxx/status/445032122081091584
PayPal_General	NEUTRAL	N	N	neutral	RT @JRaze_Retweets: Anyone want a 1 month code for Gb creds or paypal @ me if interested! Please RT!!!!	http://twitter.com/_Golfilicious_/status/448285307348467712
PayPal_General	NEUTRAL	N	Y	positive	PayPal Updates Crowdfunding Policies to Help Nonprofits and Entrepreneurs http://t.co/SZqkm058x2	http://twitter.com/_GoMedia_/status/445996910433038336
PayPal_General	NEUTRAL	N	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_GOOD_DieYoung/status/430168372668411904
PayPal_General	NEUTRAL	Y	Y	negative	My PayPal not negative no more _Ÿ™Œ_Ÿ˜‚ shit was like $450	http://twitter.com/_GoodShxtMarco/status/439592220425875456
PayPal_General	NEGATIVE	N	Y	negative	â€œ@TIME: PayPal president gets his credit card hacked http://t.co/ldWbwK8S3Wâ€ùThe irony	http://twitter.com/_Gorlomi_/status/433491121990160384
PayPal_General	NEUTRAL	N	Y	negative	"As you can see, I'm angry because my package is totally lost. Help me seek justice, @PayPal !"	http://twitter.com/_gothique/status/433715561604726784
PayPal_General	NEGATIVE	N	Y	negative	@dbx997 @PayPal oh no worry. I already filed a claim. I'm just airing my frustration.	http://twitter.com/_gothique/status/433717683042148352
PayPal_General	NEUTRAL	N	N	neutral	RT @LatinaGawd: Bruh steal my tweets all you want just send me $.75 to my paypal per tweet at least so I can pay this child support.	http://twitter.com/_goy_/status/444979538922323968
Google_Wallet	NEUTRAL				Google Wallet verification in 3 minute.. its super fast!	http://twitter.com/_GPandey/status/441235128606396416
PayPal_General	NEUTRAL	N	N	neutral	"Enter to win a ""Luck O' The Irish"" $500 Paypal CASH #giveaway w/ A Little Claireification & friends! #LuckOTheIrish http://t.co/3olNgvofVk"	http://twitter.com/_gracebeliever/status/442326997461508096
PayPal_General	POSITIVE	N	N	neutral	.@PostcardsRachel and friends are giving away $100 in #Paypal cash. Good luck! #giveaway #win #cash http://t.co/VaKBPs9vTV	http://twitter.com/_gracebeliever/status/443556792430125057
PayPal_General	NEUTRAL	N	Y	neutral	"@AskPayPal, it seems to me that you can use â€œaccount should have [its] own uniqueâ€ù instead. â€˜It'sâ€™ means â€˜it isâ€™."	http://twitter.com/_grammar_/status/444145882124910593
