Company	Sentiment	spam	Relevant	Sentiment	Subject	Handle
PayPal_General	NEUTRAL	Y	N	neutral	-     DJ PAYPAL - WHY                 http://t.co/8sddC05h4k     -	http://twitter.com/4kosgi/status/448199045417164800
PayPal_General	NEUTRAL	N	Y	neutral	"' #AbcNews ' EBay Responds to Icahn, Says Sticking With PayPal: EBay responds to Icahn's letter, ... http://t.co/2AKdCGNBgL ' #AbcNews '"	http://twitter.com/1JonathanPerez/status/437963569976459264
PayPal_General	NEUTRAL	N	Y	negative	" #PayPal feels the threat from Appleâ€™s mobile payment plans, says it â€˜wants to helpâ€™ #tech #apple http://t.co/FvXeJ4m7Wm"	http://twitter.com/MOHIT881923/status/429911680856764416
PayPal_General	POSITIVE	Y	N	neutral	"RT @BettingAccas: If VAN PERSIE scores against STOKE, we'll be giving away Â£50 via PayPal! Simply RT and follow to enter :) http://t.co/Câ€_"	http://twitter.com/_BillyHall/status/429597275372142592
PayPal_General	NEUTRAL	N	N	neutral	"@Holla_4_Dank hi again, if you want any of us to come down its Â£64 for a ticket so if you pay half we will. If so i'll drop you my paypal"	http://twitter.com/_billysummers/status/432632962455441408
PayPal_General	NEUTRAL	N	N	neutral	RT @LittlecBeadles: I take paypal	http://twitter.com/_bimarconato/status/448756197009936384
PayPal_General	NEGATIVE	N	Y	neutral	Reading: eBay boss tells workers to ignore 'noisy' Icahn's PayPal sale campaign http://t.co/vbrk0us8LR	http://twitter.com/_Biofeedback/status/444459501467742208
PayPal_General	NEUTRAL	Y	N	neutral	"RT @DeFeEcT: IF THE DENVER BRONCOS DONT WIN THE SUPER BOWL TODAY, I WILL SEND EVERYONE WHO RT'S THIS $20 PAYPAL http://t.co/9OHj2gqUjN"	http://twitter.com/_bitcheslovetee/status/430063325423357952
PayPal_General	POSITIVE	N	Y	neutral	Keith Rabois; Paypal & Square engineer: There is no chance Bitcoin becomes successful in theâ€_ http://t.co/8QYyvyW3BF	http://twitter.com/_bitcoinaire_/status/429844342501408768
PayPal_General	NEUTRAL	N	Y	neutral	"Ebay CEO: ""Paypal is building a digital wallet that can take multiple types of currencyâ€_ http://t.co/8o1c7ROnWs"	http://twitter.com/_bitcoinaire_/status/436008318281478144
PayPal_General	NEUTRAL	N	Y	neutral	<b>Bitcoin</b> Is The New PayPal  TechCrunch http://t.co/nJT277s8DI	http://twitter.com/_bitcoinaire_/status/436639185584553984
PayPal_General	NEUTRAL	N	Y	neutral	Just a reminder to everyone: Do not use Paypal to buy or sell bitcoin!: submitted byâ€_ http://t.co/zQoFp46mPo	http://twitter.com/_bitcoinaire_/status/439995227525640192
PayPal_General	POSITIVE	N	N	positive	I just closed my very old Paypal account. It felt good.: When giving reasons for closing myâ€_ http://t.co/FFhnMyBhsi	http://twitter.com/_bitcoinaire_/status/445417691047034880
PayPal_General	NEUTRAL	Y	N	neutral	I++ Pre-Order Day!! ++Pre-order our Amelie dress today ($90) & pay only $45 down via PayPal! The remainder plus... http://t.co/I5fjTViMDP	http://twitter.com/_bitter_root/status/430409690577506305
PayPal_General	NEUTRAL	N	Y	positive	http://t.co/fcOg6blXtR ...dont you just love it ...instant tweet money transfer ...bye bye paypal visa western union et al ...#bitcoin	http://twitter.com/_Bittox/status/445498640057262080
PayPal_General	NEUTRAL	N	Y	neutral	"RT @TakeoverChatter: Icahn calls on eBay to sell 20 percent of PayPal in an IPO, (NASDAQ: EBAY): Activist inve... http://t.co/YwzYK9oUIR -Tâ€_"	http://twitter.com/_BizBaz/status/446347178840031232
PayPal_General	NEUTRAL	N	N	neutral	RT @LittlecBeadles: I take paypal	http://twitter.com/_Bizzleeeeee/status/448662774743175169
PayPal_General	NEUTRAL	N	N	neutral	RT @LittlecBeadles: I take paypal	http://twitter.com/_BizzleSwag_/status/448902339957911552
PayPal_General	NEUTRAL	N	N	neutral	"I was hoping somebody would PayPal me some change _Ÿ˜__Ÿ˜‚ â€œ@GwendolynMariee: @_bjrich23 why you look so homeless in your avi Brandon _Ÿ˜…"""	http://twitter.com/_bjrich23/status/430531300282232832
PayPal_General	NEUTRAL	Y	N	neutral	"Kia, US Cellular, Google, Sketcher, Under Armour,  Esurance, PayPal, Netflix,  Skype, and Spirit Airlines weren't even a player in the busiâ€_"	http://twitter.com/_Black_Swag/status/442401267420508161
PayPal_General	NEUTRAL	Y	N	neutral	"T Mobile - Galaxy Note3 for sale $500 o.b.oMust go, I will 2nd Air it.If interested contact me. Must use PayPal or Quick Payment.#1stcome"	http://twitter.com/_Black_Swag/status/446998071801434112
PayPal_General	NEUTRAL	Y	N	neutral	RT @iPhoneHackx: PayPal again offering a 20% discount on iTunes Gift Cards http://t.co/IDrHAKbqKF http://t.co/QWsBbE33Rk	http://twitter.com/_Blackmac/status/446839260550029312
PayPal_General	NEUTRAL	N	Y	negative	"RT @lia: update on how paypal wouldn't let @cityofsound sell a book because it had ""iranian"" in the title: http://t.co/xPdnbk2M4p (cc @doctâ€_"	http://twitter.com/_Bleam/status/444837210366705664
